Diet Type,Day,Meal,Dish Combo,Ingredients (per serving),Healthy Tag,Calories (kcal),Carbs (g),Protein (g),Fats (g)
Vegetarian,333,Evening Snack,Cowpeas Coconut Curry,"Cowpeas 100g, Onion 20g, Tomato 20g, Coconut 20g, Tamarind 5g, Spices 5g, Oil 5ml",Healthy,172,14,6,8
Vegetarian,333,Dinner,Set Dosa + Ivy Gourd Pepper Saaru,"Rice 50g, Urad Dal 15g, Oil 5ml, Salt 2g + Rice 50g, Tamarind 5g, Tomato 20g, Pepper 2g, Curry Leaves 2g, Oil 5ml",Healthy,321,48,9,7
Vegetarian,333,Day Total,,—,Balanced,1420,204,44,40
Vegetarian,334,Breakfast,Watermelon Slices,"Vegetables 100g, Onion 20g, Tomato 20g, Spices 5g, Oil 5ml",Healthy,168,17,6,6
Vegetarian,334,Morning Snack,Coriander Stems Masala,"Coriander 100g, Onion 20g, Tomato 20g, Coconut 20g, Tamarind 5g, Spices 5g, Oil 5ml",Healthy,172,14,6,8
Vegetarian,334,Lunch,Udupi Sambar + Peas Pulao + Boiled Sweet Potato,"Rice 50g, Toor Dal 20g, Tamarind 5g, Onion 20g, Tomato 20g, Oil 5ml, Sambar Powder 5g + Vegetables 100g, Onion 20g, Tomato 20g, Spices 5g, Oil 5ml + Vegetables 100g, Onion 20g, Tomato 20g, Spices 5g, Oil 5ml",Healthy,565,89,18,14
Vegetarian,334,Evening Snack,Field Beans Pepper Saaru,"Rice 50g, Tamarind 5g, Tomato 20g, Pepper 2g, Curry Leaves 2g, Oil 5ml",Healthy,113,14,4,5
Vegetarian,334,Dinner,Paper Dosa + Nati Koli Saaru,"Rice 50g, Urad Dal 15g, Oil 5ml, Salt 2g + Rice 50g, Tamarind 5g, Tomato 20g, Pepper 2g, Curry Leaves 2g, Oil 5ml",Healthy,309,51,9,8
Vegetarian,334,Day Total,,—,Balanced,1327,185,43,41
Vegetarian,335,Breakfast,Uttapam,"Vegetables 100g, Onion 20g, Tomato 20g, Spices 5g, Oil 5ml",Healthy,204,35,5,3
Vegetarian,335,Morning Snack,Lentil Sprouts Masala,"Lentil 100g, Onion 20g, Tomato 20g, Coconut 20g, Tamarind 5g, Spices 5g, Oil 5ml",Healthy,124,15,4,5
Vegetarian,335,Lunch,Ash Gourd Dal + Veg Pulao + Dry Fruit Laddu,"Lentils 40g, Onion 20g, Tomato 20g, Turmeric 2g, Oil 5ml + Vegetables 100g, Onion 20g, Tomato 20g, Spices 5g, Oil 5ml + Vegetables 100g, Onion 20g, Tomato 20g, Spices 5g, Oil 5ml",Healthy,536,88,16,13
Vegetarian,335,Evening Snack,Bamboo Shoot Sagu,"Bamboo 100g, Onion 20g, Tomato 20g, Coconut 20g, Tamarind 5g, Spices 5g, Oil 5ml",Healthy,162,13,7,9
Vegetarian,335,Dinner,Sajje Rotti + Ivy Gourd Tovve,"Wheat Flour 50g, Water 30ml, Oil 5ml, Salt 2g + Lentils 40g, Onion 20g, Tomato 20g, Turmeric 2g, Oil 5ml",Healthy,350,51,10,11
Vegetarian,335,Day Total,,—,Balanced,1376,202,42,41
Vegetarian,336,Breakfast,Benne Dosa,"Rice 50g, Urad Dal 15g, Oil 5ml, Salt 2g",Healthy,202,37,5,3
Vegetarian,336,Morning Snack,Plain Dosa Roll,"Rice 50g, Urad Dal 15g, Oil 5ml, Salt 2g",Healthy,164,16,5,6
Vegetarian,336,Lunch,Huruli Saaru + Ghee Rice + Mushroom Kootu,"Rice 50g, Tamarind 5g, Tomato 20g, Pepper 2g, Curry Leaves 2g, Oil 5ml + Vegetables 100g, Onion 20g, Tomato 20g, Spices 5g, Oil 5ml + Vegetables 100g, Onion 20g, Tomato 20g, Spices 5g, Oil 5ml",Healthy,509,86,16,12
Vegetarian,336,Evening Snack,Horse Gram Masala,"Horse 100g, Onion 20g, Tomato 20g, Coconut 20g, Tamarind 5g, Spices 5g, Oil 5ml",Healthy,158,13,5,7
Vegetarian,336,Dinner,Benne Dosa + Moong Sprouts Masala,"Rice 50g, Urad Dal 15g, Oil 5ml, Salt 2g + Moong 100g, Onion 20g, Tomato 20g, Coconut 20g, Tamarind 5g, Spices 5g, Oil 5ml",Healthy,326,50,8,9
Vegetarian,336,Day Total,,—,Balanced,1359,202,39,37
Vegetarian,337,Breakfast,Mandakki Oggarane,"Vegetables 100g, Onion 20g, Tomato 20g, Spices 5g, Oil 5ml",Healthy,326,51,9,9
Vegetarian,337,Morning Snack,Hyacinth Beans Sagu,"Hyacinth 100g, Onion 20g, Tomato 20g, Coconut 20g, Tamarind 5g, Spices 5g, Oil 5ml",Healthy,158,13,6,7
Vegetarian,337,Lunch,Ladyfish Curry + Ghee Rice + Ash Gourd Palya,"Ladyfish 100g, Onion 20g, Tomato 20g, Coconut 20g, Tamarind 5g, Spices 5g, Oil 5ml + Vegetables 100g, Onion 20g, Tomato 20g, Spices 5g, Oil 5ml + Ash 100g, Onion 20g, Green Chili 5g, Mustard Seeds 2g, Curry Leaves 2g, Oil 5ml",Healthy,490,79,17,11
Vegetarian,337,Evening Snack,Ragi Laddu,"Vegetables 100g, Onion 20g, Tomato 20g, Spices 5g, Oil 5ml",Healthy,160,20,5,6
Vegetarian,337,Dinner,Avalakki Dosa + Cauliflower Pepper Saaru,"Rice 50g, Urad Dal 15g, Oil 5ml, Salt 2g + Rice 50g, Tamarind 5g, Tomato 20g, Pepper 2g, Curry Leaves 2g, Oil 5ml",Healthy,352,51,10,12
Vegetarian,337,Day Total,,—,Balanced,1486,214,47,45
Vegetarian,338,Breakfast,Poha Cup,"Flattened Rice 40g, Onion 20g, Curry Leaves 2g, Green Chili 5g, Oil 5ml",Healthy,338,51,9,9
Vegetarian,338,Morning Snack,Green Peas Huli,"Rice 50g, Toor Dal 20g, Tamarind 5g, Onion 20g, Tomato 20g, Oil 5ml, Sambar Powder 5g",Healthy,125,15,4,5
Vegetarian,338,Lunch,Soppu Saaru + Malnad Pulav + Pumpkin Palya,"Rice 50g, Tamarind 5g, Tomato 20g, Pepper 2g, Curry Leaves 2g, Oil 5ml + Vegetables 100g, Onion 20g, Tomato 20g, Spices 5g, Oil 5ml + Pumpkin 100g, Onion 20g, Green Chili 5g, Mustard Seeds 2g, Curry Leaves 2g, Oil 5ml",Healthy,551,77,19,14
Vegetarian,338,Evening Snack,Bottle Gourd Huli,"Rice 50g, Toor Dal 20g, Tamarind 5g, Onion 20g, Tomato 20g, Oil 5ml, Sambar Powder 5g",Healthy,126,12,4,6
Vegetarian,338,Dinner,Paper Dosa + Crab Curry,"Rice 50g, Urad Dal 15g, Oil 5ml, Salt 2g + Crab 100g, Onion 20g, Tomato 20g, Coconut 20g, Tamarind 5g, Spices 5g, Oil 5ml",Healthy,323,50,9,8
Vegetarian,338,Day Total,,—,Balanced,1463,205,45,42
Vegetarian,339,Breakfast,Avalakki Mixture (roasted),"Flattened Rice 40g, Onion 20g, Curry Leaves 2g, Green Chili 5g, Oil 5ml",Healthy,167,19,6,6
Vegetarian,339,Morning Snack,Cabbage Kootu,"Vegetables 100g, Onion 20g, Tomato 20g, Spices 5g, Oil 5ml",Healthy,173,13,5,8
Vegetarian,339,Lunch,Togari Bele Saaru + Malnad Pulav + Carrot Masala,"Rice 50g, Tamarind 5g, Tomato 20g, Pepper 2g, Curry Leaves 2g, Oil 5ml + Vegetables 100g, Onion 20g, Tomato 20g, Spices 5g, Oil 5ml + Carrot 100g, Onion 20g, Tomato 20g, Coconut 20g, Tamarind 5g, Spices 5g, Oil 5ml",Healthy,527,85,16,16
Vegetarian,339,Evening Snack,Green Peas Gojju,"Green 100g, Onion 20g, Tomato 20g, Coconut 20g, Tamarind 5g, Spices 5g, Oil 5ml",Healthy,161,15,6,8
Vegetarian,339,Dinner,Mallige Idli + Dry Fry,"Rice 50g, Urad Dal 20g, Salt 2g + Vegetables 100g, Onion 20g, Tomato 20g, Spices 5g, Oil 5ml",Healthy,182,36,5,3
Vegetarian,339,Day Total,,—,Balanced,1210,168,38,41
Vegetarian,340,Breakfast,Coconut Chunks,"Vegetables 100g, Onion 20g, Tomato 20g, Spices 5g, Oil 5ml",Healthy,156,18,5,6
Vegetarian,340,Morning Snack,Okra Mustard Curry,"Okra 100g, Onion 20g, Tomato 20g, Coconut 20g, Tamarind 5g, Spices 5g, Oil 5ml",Healthy,129,14,4,5
Vegetarian,340,Lunch,Ash Gourd Dal + Tomato Rice + Pumpkin Mustard Curry,"Lentils 40g, Onion 20g, Tomato 20g, Turmeric 2g, Oil 5ml + Vegetables 100g, Onion 20g, Tomato 20g, Spices 5g, Oil 5ml + Pumpkin 100g, Onion 20g, Tomato 20g, Coconut 20g, Tamarind 5g, Spices 5g, Oil 5ml",Healthy,486,73,14,12
Vegetarian,340,Evening Snack,Moong Sprouts Kayi Saaru,"Rice 50g, Tamarind 5g, Tomato 20g, Pepper 2g, Curry Leaves 2g, Oil 5ml",Healthy,117,14,4,5
Vegetarian,340,Dinner,Chapati + Watermelon Slices,"Vegetables 100g, Onion 20g, Tomato 20g, Spices 5g, Oil 5ml + Vegetables 100g, Onion 20g, Tomato 20g, Spices 5g, Oil 5ml",Healthy,367,48,11,9
Vegetarian,340,Day Total,,—,Balanced,1255,167,38,37
Vegetarian,341,Breakfast,Avalakki Mixture (roasted),"Flattened Rice 40g, Onion 20g, Curry Leaves 2g, Green Chili 5g, Oil 5ml",Healthy,167,19,6,6
Vegetarian,341,Morning Snack,Cabbage Kootu,"Vegetables 100g, Onion 20g, Tomato 20g, Spices 5g, Oil 5ml",Healthy,173,13,5,8
Vegetarian,341,Lunch,Onion Sambar + Tamarind Rice + Baked Rotti Chips,"Rice 50g, Toor Dal 20g, Tamarind 5g, Onion 20g, Tomato 20g, Oil 5ml, Sambar Powder 5g + Vegetables 100g, Onion 20g, Tomato 20g, Spices 5g, Oil 5ml + Wheat Flour 50g, Water 30ml, Oil 5ml, Salt 2g",Healthy,568,87,17,13
Vegetarian,341,Evening Snack,Mushroom Coconut Curry,"Mushroom 100g, Onion 20g, Tomato 20g, Coconut 20g, Tamarind 5g, Spices 5g, Oil 5ml",Healthy,128,14,4,5
Vegetarian,341,Dinner,Ragi Rotti + Sesame-Jaggery Mix,"Wheat Flour 50g, Water 30ml, Oil 5ml, Salt 2g + Vegetables 100g, Onion 20g, Tomato 20g, Spices 5g, Oil 5ml",Healthy,338,51,10,9
Vegetarian,341,Day Total,,—,Balanced,1374,184,42,41
Vegetarian,342,Breakfast,Papaya Bowl,"Vegetables 100g, Onion 20g, Tomato 20g, Spices 5g, Oil 5ml",Healthy,148,18,5,6
Vegetarian,342,Morning Snack,Hyacinth Beans Tovve,"Lentils 40g, Onion 20g, Tomato 20g, Turmeric 2g, Oil 5ml",Healthy,119,13,4,5
Vegetarian,342,Lunch,Soppu Saaru + Malnad Pulav + Plain Dosa Roll,"Rice 50g, Tamarind 5g, Tomato 20g, Pepper 2g, Curry Leaves 2g, Oil 5ml + Vegetables 100g, Onion 20g, Tomato 20g, Spices 5g, Oil 5ml + Rice 50g, Urad Dal 15g, Oil 5ml, Salt 2g",Healthy,553,78,18,13
Vegetarian,342,Evening Snack,Papaya Bowl,"Vegetables 100g, Onion 20g, Tomato 20g, Spices 5g, Oil 5ml",Healthy,148,18,5,6
Vegetarian,342,Dinner,Mixed Millet Dosa + Mushroom Kootu,"Rice 50g, Urad Dal 15g, Oil 5ml, Salt 2g + Vegetables 100g, Onion 20g, Tomato 20g, Spices 5g, Oil 5ml",Healthy,319,48,10,8
Vegetarian,342,Day Total,,—,Balanced,1287,175,42,38
Vegetarian,343,Breakfast,Paper Dosa,"Rice 50g, Urad Dal 15g, Oil 5ml, Salt 2g",Healthy,194,37,5,3
Vegetarian,343,Morning Snack,Capsicum Masala,"Capsicum 100g, Onion 20g, Tomato 20g, Coconut 20g, Tamarind 5g, Spices 5g, Oil 5ml",Healthy,168,13,7,8
Vegetarian,343,Lunch,Coconut Dal + Peas Pulao + Chow Chow Masala,"Lentils 40g, Onion 20g, Tomato 20g, Turmeric 2g, Oil 5ml + Vegetables 100g, Onion 20g, Tomato 20g, Spices 5g, Oil 5ml + Chow 100g, Onion 20g, Tomato 20g, Coconut 20g, Tamarind 5g, Spices 5g, Oil 5ml",Healthy,489,72,17,11
Vegetarian,343,Evening Snack,Knol Khol Coconut Curry,"Knol 100g, Onion 20g, Tomato 20g, Coconut 20g, Tamarind 5g, Spices 5g, Oil 5ml",Healthy,164,16,6,8
Vegetarian,343,Dinner,Paper Dosa + Radish Coconut Curry,"Rice 50g, Urad Dal 15g, Oil 5ml, Salt 2g + Radish 100g, Onion 20g, Tomato 20g, Coconut 20g, Tamarind 5g, Spices 5g, Oil 5ml",Healthy,319,52,9,8
Vegetarian,343,Day Total,,—,Balanced,1334,190,44,38
Vegetarian,344,Breakfast,Jackfruit Bulbs (seasonal),"Vegetables 100g, Onion 20g, Tomato 20g, Spices 5g, Oil 5ml",Healthy,164,17,5,6
Vegetarian,344,Morning Snack,Ivy Gourd Coconut Curry,"Ivy 100g, Onion 20g, Tomato 20g, Coconut 20g, Tamarind 5g, Spices 5g, Oil 5ml",Healthy,156,14,7,9
Vegetarian,344,Lunch,Bas Saaru + Coconut Rice + Ash Gourd Palya,"Rice 50g, Tamarind 5g, Tomato 20g, Pepper 2g, Curry Leaves 2g, Oil 5ml + Vegetables 100g, Onion 20g, Tomato 20g, Spices 5g, Oil 5ml + Ash 100g, Onion 20g, Green Chili 5g, Mustard Seeds 2g, Curry Leaves 2g, Oil 5ml",Healthy,498,81,16,12
Vegetarian,344,Evening Snack,Cowpeas Kurma,"Vegetables 100g, Onion 20g, Tomato 20g, Spices 5g, Oil 5ml",Healthy,126,15,4,5
Vegetarian,344,Dinner,Kadubu + Field Beans Sagu,"Vegetables 100g, Onion 20g, Tomato 20g, Spices 5g, Oil 5ml + Field 100g, Onion 20g, Tomato 20g, Coconut 20g, Tamarind 5g, Spices 5g, Oil 5ml",Healthy,314,49,10,8
Vegetarian,344,Day Total,,—,Balanced,1258,176,42,40
Vegetarian,345,Breakfast,Chaas with Roasted Cumin,"Vegetables 100g, Onion 20g, Tomato 20g, Spices 5g, Oil 5ml",Healthy,170,16,4,6
Vegetarian,345,Morning Snack,Carrot Saaru,"Rice 50g, Tamarind 5g, Tomato 20g, Pepper 2g, Curry Leaves 2g, Oil 5ml",Healthy,124,15,4,5
Vegetarian,345,Lunch,Pumpkin Dal + Ghee Rice + Raw Banana Mustard Curry,"Lentils 40g, Onion 20g, Tomato 20g, Turmeric 2g, Oil 5ml + Vegetables 100g, Onion 20g, Tomato 20g, Spices 5g, Oil 5ml + Raw 100g, Onion 20g, Tomato 20g, Coconut 20g, Tamarind 5g, Spices 5g, Oil 5ml",Healthy,504,75,16,12
Vegetarian,345,Evening Snack,Carrot Koddelu,"Vegetables 100g, Onion 20g, Tomato 20g, Spices 5g, Oil 5ml",Healthy,113,15,4,5
Vegetarian,345,Dinner,Uttapam + Jackfruit Bulbs (seasonal),"Vegetables 100g, Onion 20g, Tomato 20g, Spices 5g, Oil 5ml + Vegetables 100g, Onion 20g, Tomato 20g, Spices 5g, Oil 5ml",Healthy,368,52,10,9
Vegetarian,345,Day Total,,—,Balanced,1279,173,38,37
Vegetarian,346,Breakfast,Raisins Handful,"Vegetables 100g, Onion 20g, Tomato 20g, Spices 5g, Oil 5ml",Healthy,160,17,5,5
Vegetarian,346,Morning Snack,Moong Sprouts Kayi Saaru,"Rice 50g, Tamarind 5g, Tomato 20g, Pepper 2g, Curry Leaves 2g, Oil 5ml",Healthy,117,14,4,5
Vegetarian,346,Lunch,Pepper Rasam + Tomato Rice + Ivy Gourd Kayi Saaru,"Rice 50g, Tamarind 5g, Tomato 20g, Pepper 2g, Curry Leaves 2g, Oil 5ml + Vegetables 100g, Onion 20g, Tomato 20g, Spices 5g, Oil 5ml + Rice 50g, Tamarind 5g, Tomato 20g, Pepper 2g, Curry Leaves 2g, Oil 5ml",Healthy,557,75,19,15
Vegetarian,346,Evening Snack,Plain Dosa Roll,"Rice 50g, Urad Dal 15g, Oil 5ml, Salt 2g",Healthy,164,16,5,6
Vegetarian,346,Dinner,Masala Dosa + Bottle Gourd Koddelu,"Rice 50g, Urad Dal 15g, Oil 5ml, Salt 2g + Vegetables 100g, Onion 20g, Tomato 20g, Spices 5g, Oil 5ml",Healthy,362,54,12,12
Vegetarian,346,Day Total,,—,Balanced,1360,176,45,43
Vegetarian,347,Breakfast,Chicken Tikka Bites (grilled),"Vegetables 100g, Onion 20g, Tomato 20g, Spices 5g, Oil 5ml",Healthy,171,20,6,6
Vegetarian,347,Morning Snack,Coriander Stems Masala,"Coriander 100g, Onion 20g, Tomato 20g, Coconut 20g, Tamarind 5g, Spices 5g, Oil 5ml",Healthy,172,14,6,8
Vegetarian,347,Lunch,Ridge Gourd Dal + Peas Pulao + Pomegranate Cup,"Lentils 40g, Onion 20g, Tomato 20g, Turmeric 2g, Oil 5ml + Vegetables 100g, Onion 20g, Tomato 20g, Spices 5g, Oil 5ml + Vegetables 100g, Onion 20g, Tomato 20g, Spices 5g, Oil 5ml",Healthy,523,90,16,13
Vegetarian,347,Evening Snack,Carrot Koddelu,"Vegetables 100g, Onion 20g, Tomato 20g, Spices 5g, Oil 5ml",Healthy,113,15,4,5
Vegetarian,347,Dinner,Moode Idli + Peanut Sundal,"Rice 50g, Urad Dal 20g, Salt 2g + Lentils 40g, Onion 20g, Tomato 20g, Turmeric 2g, Oil 5ml",Healthy,353,58,10,8
Vegetarian,347,Day Total,,—,Balanced,1332,197,42,40
Vegetarian,348,Breakfast,Nuchina Unde Bowl,"Vegetables 100g, Onion 20g, Tomato 20g, Spices 5g, Oil 5ml",Healthy,350,61,10,9
Vegetarian,348,Morning Snack,Green Peas Kayi Saaru,"Rice 50g, Tamarind 5g, Tomato 20g, Pepper 2g, Curry Leaves 2g, Oil 5ml",Healthy,160,15,6,8
Vegetarian,348,Lunch,Coconut Dal + Tomato Rice + Tomato Palya,"Lentils 40g, Onion 20g, Tomato 20g, Turmeric 2g, Oil 5ml + Vegetables 100g, Onion 20g, Tomato 20g, Spices 5g, Oil 5ml + Tomato 100g, Onion 20g, Green Chili 5g, Mustard Seeds 2g, Curry Leaves 2g, Oil 5ml",Healthy,486,83,15,11
Vegetarian,348,Evening Snack,Baby Corn Coconut Curry,"Baby 100g, Onion 20g, Tomato 20g, Coconut 20g, Tamarind 5g, Spices 5g, Oil 5ml",Healthy,167,13,5,8
Vegetarian,348,Dinner,Jolada Rotti + Hyacinth Beans Gojju,"Wheat Flour 50g, Water 30ml, Oil 5ml, Salt 2g + Hyacinth 100g, Onion 20g, Tomato 20g, Coconut 20g, Tamarind 5g, Spices 5g, Oil 5ml",Healthy,324,47,9,8
Vegetarian,348,Day Total,,—,Balanced,1487,219,45,44
Vegetarian,349,Breakfast,Rava Idli,"Rice 50g, Urad Dal 20g, Salt 2g",Healthy,177,32,4,3
Vegetarian,349,Morning Snack,Coconut Chunks,"Vegetables 100g, Onion 20g, Tomato 20g, Spices 5g, Oil 5ml",Healthy,156,18,5,6
Vegetarian,349,Lunch,Coconut Dal + Tomato Rice + Papaya Bowl,"Lentils 40g, Onion 20g, Tomato 20g, Turmeric 2g, Oil 5ml + Vegetables 100g, Onion 20g, Tomato 20g, Spices 5g, Oil 5ml + Vegetables 100g, Onion 20g, Tomato 20g, Spices 5g, Oil 5ml",Healthy,515,86,16,13
Vegetarian,349,Evening Snack,Black-eyed Peas Tovve,"Lentils 40g, Onion 20g, Tomato 20g, Turmeric 2g, Oil 5ml",Healthy,111,15,4,5
Vegetarian,349,Dinner,Set Dosa + Kheema Curry,"Rice 50g, Urad Dal 15g, Oil 5ml, Salt 2g + Kheema 100g, Onion 20g, Tomato 20g, Coconut 20g, Tamarind 5g, Spices 5g, Oil 5ml",Healthy,325,48,9,8
Vegetarian,349,Day Total,,—,Balanced,1284,199,38,35
Vegetarian,350,Breakfast,Anjeer (Dried Fig),"Vegetables 100g, Onion 20g, Tomato 20g, Spices 5g, Oil 5ml",Healthy,159,17,6,5
Vegetarian,350,Morning Snack,Hyacinth Beans Mustard Curry,"Hyacinth 100g, Onion 20g, Tomato 20g, Coconut 20g, Tamarind 5g, Spices 5g, Oil 5ml",Healthy,155,15,6,8
Vegetarian,350,Lunch,Ridge Gourd Dal + Malnad Pulav + Horse Gram Kootu,"Lentils 40g, Onion 20g, Tomato 20g, Turmeric 2g, Oil 5ml + Vegetables 100g, Onion 20g, Tomato 20g, Spices 5g, Oil 5ml + Vegetables 100g, Onion 20g, Tomato 20g, Spices 5g, Oil 5ml",Healthy,483,82,16,12
Vegetarian,350,Evening Snack,Cowpeas Kurma,"Vegetables 100g, Onion 20g, Tomato 20g, Spices 5g, Oil 5ml",Healthy,126,15,4,5
Vegetarian,350,Dinner,Kadubu + Cauliflower Sagu,"Vegetables 100g, Onion 20g, Tomato 20g, Spices 5g, Oil 5ml + Cauliflower 100g, Onion 20g, Tomato 20g, Coconut 20g, Tamarind 5g, Spices 5g, Oil 5ml",Healthy,316,50,9,8
Vegetarian,350,Day Total,,—,Balanced,1239,179,41,38
Vegetarian,351,Breakfast,Avalakki Mixture (roasted),"Flattened Rice 40g, Onion 20g, Curry Leaves 2g, Green Chili 5g, Oil 5ml",Healthy,167,19,6,6
Vegetarian,351,Morning Snack,Ragi Laddu,"Vegetables 100g, Onion 20g, Tomato 20g, Spices 5g, Oil 5ml",Healthy,160,20,5,6
Vegetarian,351,Lunch,Soppu Saaru + Tomato Rice + Black-eyed Peas Tovve,"Rice 50g, Tamarind 5g, Tomato 20g, Pepper 2g, Curry Leaves 2g, Oil 5ml + Vegetables 100g, Onion 20g, Tomato 20g, Spices 5g, Oil 5ml + Lentils 40g, Onion 20g, Tomato 20g, Turmeric 2g, Oil 5ml",Healthy,521,77,15,12
Vegetarian,351,Evening Snack,Horse Gram Masala,"Horse 100g, Onion 20g, Tomato 20g, Coconut 20g, Tamarind 5g, Spices 5g, Oil 5ml",Healthy,158,13,5,7
Vegetarian,351,Dinner,Rava Idli + Spinach Pepper Saaru,"Rice 50g, Urad Dal 20g, Salt 2g + Rice 50g, Tamarind 5g, Tomato 20g, Pepper 2g, Curry Leaves 2g, Oil 5ml",Healthy,331,47,10,11
Vegetarian,351,Day Total,,—,Balanced,1337,176,41,42
Vegetarian,352,Breakfast,Salted Lassi,"Vegetables 100g, Onion 20g, Tomato 20g, Spices 5g, Oil 5ml",Healthy,169,17,5,6
Vegetarian,352,Morning Snack,Papaya Bowl,"Vegetables 100g, Onion 20g, Tomato 20g, Spices 5g, Oil 5ml",Healthy,148,18,5,6
Vegetarian,352,Lunch,Onion Sambar + Jeera Rice + Veg Salad Cup,"Rice 50g, Toor Dal 20g, Tamarind 5g, Onion 20g, Tomato 20g, Oil 5ml, Sambar Powder 5g + Vegetables 100g, Onion 20g, Tomato 20g, Spices 5g, Oil 5ml + Vegetables 100g, Onion 20g, Tomato 20g, Spices 5g, Oil 5ml",Healthy,505,87,16,14
Vegetarian,352,Evening Snack,Ivy Gourd Coconut Curry,"Ivy 100g, Onion 20g, Tomato 20g, Coconut 20g, Tamarind 5g, Spices 5g, Oil 5ml",Healthy,156,14,7,9
Vegetarian,352,Dinner,Benne Dosa + Moong Sprouts Saaru,"Rice 50g, Urad Dal 15g, Oil 5ml, Salt 2g + Rice 50g, Tamarind 5g, Tomato 20g, Pepper 2g, Curry Leaves 2g, Oil 5ml",Healthy,318,52,9,8
Vegetarian,352,Day Total,,—,Balanced,1296,188,42,43
Vegetarian,353,Breakfast,Chaas with Roasted Cumin,"Vegetables 100g, Onion 20g, Tomato 20g, Spices 5g, Oil 5ml",Healthy,170,16,4,6
Vegetarian,353,Morning Snack,Anjeer (Dried Fig),"Vegetables 100g, Onion 20g, Tomato 20g, Spices 5g, Oil 5ml",Healthy,159,17,6,5
Vegetarian,353,Lunch,Ridge Gourd Dal + Steamed Rice + Salted Lassi,"Lentils 40g, Onion 20g, Tomato 20g, Turmeric 2g, Oil 5ml + Vegetables 100g, Onion 20g, Tomato 20g, Spices 5g, Oil 5ml + Vegetables 100g, Onion 20g, Tomato 20g, Spices 5g, Oil 5ml",Healthy,574,87,16,13
Vegetarian,353,Evening Snack,Drumstick Koddelu,"Vegetables 100g, Onion 20g, Tomato 20g, Spices 5g, Oil 5ml",Healthy,121,15,4,5
Vegetarian,353,Dinner,Wheat Phulka + Okra Mustard Curry,"Vegetables 100g, Onion 20g, Tomato 20g, Spices 5g, Oil 5ml + Okra 100g, Onion 20g, Tomato 20g, Coconut 20g, Tamarind 5g, Spices 5g, Oil 5ml",Healthy,317,45,10,8
Vegetarian,353,Day Total,,—,Balanced,1341,180,40,37
Vegetarian,354,Breakfast,Sprouted Moong Usli,"Pulses 40g, Onion 20g, Curry Leaves 2g, Coconut 10g, Oil 5ml",Healthy,169,19,5,6
Vegetarian,354,Morning Snack,Peanut Sundal,"Lentils 40g, Onion 20g, Tomato 20g, Turmeric 2g, Oil 5ml",Healthy,172,19,5,6
Vegetarian,354,Lunch,Ridge Gourd Dal + Peas Pulao + Chow Chow Coconut Curry,"Lentils 40g, Onion 20g, Tomato 20g, Turmeric 2g, Oil 5ml + Vegetables 100g, Onion 20g, Tomato 20g, Spices 5g, Oil 5ml + Chow 100g, Onion 20g, Tomato 20g, Coconut 20g, Tamarind 5g, Spices 5g, Oil 5ml",Healthy,475,86,15,12
Vegetarian,354,Evening Snack,Fenugreek Leaves Koddelu,"Vegetables 100g, Onion 20g, Tomato 20g, Spices 5g, Oil 5ml",Healthy,155,15,7,8
Vegetarian,354,Dinner,Parotta + Beans Mustard Curry,"Vegetables 100g, Onion 20g, Tomato 20g, Spices 5g, Oil 5ml + Beans 100g, Onion 20g, Tomato 20g, Coconut 20g, Tamarind 5g, Spices 5g, Oil 5ml",Healthy,327,46,9,8
Vegetarian,354,Day Total,,—,Balanced,1298,185,41,40
Vegetarian,355,Breakfast,Neer Dosa,"Rice 50g, Urad Dal 15g, Oil 5ml, Salt 2g",Healthy,199,38,5,3
Vegetarian,355,Morning Snack,Bitter Gourd Gojju,"Bitter 100g, Onion 20g, Tomato 20g, Coconut 20g, Tamarind 5g, Spices 5g, Oil 5ml",Healthy,159,14,7,8
Vegetarian,355,Lunch,Udupi Sambar + Peas Pulao + Horse Gram Coconut Curry,"Rice 50g, Toor Dal 20g, Tamarind 5g, Onion 20g, Tomato 20g, Oil 5ml, Sambar Powder 5g + Vegetables 100g, Onion 20g, Tomato 20g, Spices 5g, Oil 5ml + Horse 100g, Onion 20g, Tomato 20g, Coconut 20g, Tamarind 5g, Spices 5g, Oil 5ml",Healthy,560,82,19,16
Vegetarian,355,Evening Snack,Ash Gourd Pepper Saaru,"Rice 50g, Tamarind 5g, Tomato 20g, Pepper 2g, Curry Leaves 2g, Oil 5ml",Healthy,155,13,5,7
Vegetarian,355,Dinner,Mallige Idli + Moong Sprouts Gojju,"Rice 50g, Urad Dal 20g, Salt 2g + Moong 100g, Onion 20g, Tomato 20g, Coconut 20g, Tamarind 5g, Spices 5g, Oil 5ml",Healthy,294,52,9,8
Vegetarian,355,Day Total,,—,Balanced,1367,199,45,42
Vegetarian,356,Breakfast,Boiled Peanuts,"Vegetables 100g, Onion 20g, Tomato 20g, Spices 5g, Oil 5ml",Healthy,166,17,5,6
Vegetarian,356,Morning Snack,Horse Gram Coconut Curry,"Horse 100g, Onion 20g, Tomato 20g, Coconut 20g, Tamarind 5g, Spices 5g, Oil 5ml",Healthy,161,13,6,8
