Diet Type,Day,Meal,Dish Combo,Ingredients (per serving),Healthy Tag,Calories (kcal),Carbs (g),Protein (g),Fats (g),Batch
Jain,265,Morning Snack,Punugulu,"Idli-Dosa Batter 60g, Rice Flour 20g, Oil 5ml, Salt 2g",Healthy,260,35,7,8,.\batch2_jain_mealplan.csv
Jain,265,Lunch,Pappu+Rice,"Rice 60g, Toor Dal 20g, Tomato 20g, Oil 5ml, Spices 5g",Healthy,390,66,13,8,.\batch2_jain_mealplan.csv
Jain,265,Evening Snack,Corn,"Corn 80g, Chili Powder 2g, Lemon Juice 5ml, Salt 2g",Healthy,160,30,5,3,.\batch2_jain_mealplan.csv
Jain,265,Dinner,Pappu+Rice,"Rice 60g, Toor Dal 20g, Tomato 20g, Oil 5ml, Spices 5g",Healthy,390,66,13,8,.\batch2_jain_mealplan.csv
Jain,265,Day Total,,—,Balanced,1500,237,46,36,.\batch2_jain_mealplan.csv
Jain,266,Breakfast,Dibba Rotti,"Urad Dal 30g, Rice 60g, Oil 5ml, Salt 2g",Healthy,280,44,7,6,.\batch2_jain_mealplan.csv
Jain,266,Morning Snack,Garelu,"Urad Dal 60g, Rice Flour 10g, Oil 5ml, Salt 2g",Healthy,300,40,8,9,.\batch2_jain_mealplan.csv
Jain,266,Lunch,Pulusu+Rice,"Rice 50g, Vegetable 100g (no root veg), Tamarind 5g, Chili 5g, Curry Leaves 2g, Oil 5ml, Spices 5g",Healthy,360,62,10,7,.\batch2_jain_mealplan.csv
Jain,266,Evening Snack,Garelu,"Urad Dal 60g, Rice Flour 10g, Oil 5ml, Salt 2g",Healthy,300,40,8,9,.\batch2_jain_mealplan.csv
Jain,266,Dinner,Pulusu+Rice,"Rice 50g, Vegetable 100g (no root veg), Tamarind 5g, Chili 5g, Curry Leaves 2g, Oil 5ml, Spices 5g",Healthy,360,62,10,7,.\batch2_jain_mealplan.csv
Jain,266,Day Total,,—,Balanced,1600,248,43,38,.\batch2_jain_mealplan.csv
Jain,267,Breakfast,Idli,"Rice 50g, Urad Dal 20g, Salt 2g",Healthy,240,45,8,3,.\batch2_jain_mealplan.csv
Jain,267,Morning Snack,Corn,"Corn 80g, Chili Powder 2g, Lemon Juice 5ml, Salt 2g",Healthy,160,30,5,3,.\batch2_jain_mealplan.csv
Jain,267,Lunch,Kura+Rice,"Rice 50g, Vegetable 120g (no root veg), Tomato 20g, Curry Leaves 2g, Mustard Seeds 2g, Oil 5ml, Spices 5g",Healthy,370,58,11,9,.\batch2_jain_mealplan.csv
Jain,267,Evening Snack,Punugulu,"Idli-Dosa Batter 60g, Rice Flour 20g, Oil 5ml, Salt 2g",Healthy,260,35,7,8,.\batch2_jain_mealplan.csv
Jain,267,Dinner,Kura+Rice,"Rice 50g, Vegetable 120g (no root veg), Tomato 20g, Curry Leaves 2g, Mustard Seeds 2g, Oil 5ml, Spices 5g",Healthy,370,58,11,9,.\batch2_jain_mealplan.csv
Jain,267,Day Total,,—,Balanced,1400,226,42,32,.\batch2_jain_mealplan.csv
Jain,268,Breakfast,Dosa,"Rice 50g, Urad Dal 15g, Oil 5ml, Salt 2g",Healthy,260,42,9,9,.\batch2_jain_mealplan.csv
Jain,268,Morning Snack,Punugulu,"Idli-Dosa Batter 60g, Rice Flour 20g, Oil 5ml, Salt 2g",Healthy,260,35,7,8,.\batch2_jain_mealplan.csv
Jain,268,Lunch,Pappu+Rice,"Rice 60g, Toor Dal 20g, Tomato 20g, Oil 5ml, Spices 5g",Healthy,390,66,13,8,.\batch2_jain_mealplan.csv
Jain,268,Evening Snack,Corn,"Corn 80g, Chili Powder 2g, Lemon Juice 5ml, Salt 2g",Healthy,160,30,5,3,.\batch2_jain_mealplan.csv
Jain,268,Dinner,Pappu+Rice,"Rice 60g, Toor Dal 20g, Tomato 20g, Oil 5ml, Spices 5g",Healthy,390,66,13,8,.\batch2_jain_mealplan.csv
Jain,268,Day Total,,—,Balanced,1460,239,47,36,.\batch2_jain_mealplan.csv
Jain,269,Breakfast,Pesarattu,"Green Gram 60g, Chili 5g, Cumin 2g, Oil 5ml, Salt 2g",Healthy,330,52,11,6,.\batch2_jain_mealplan.csv
Jain,269,Morning Snack,Garelu,"Urad Dal 60g, Rice Flour 10g, Oil 5ml, Salt 2g",Healthy,300,40,8,9,.\batch2_jain_mealplan.csv
Jain,269,Lunch,Pulusu+Rice,"Rice 50g, Vegetable 100g (no root veg), Tamarind 5g, Chili 5g, Curry Leaves 2g, Oil 5ml, Spices 5g",Healthy,360,62,10,7,.\batch2_jain_mealplan.csv
Jain,269,Evening Snack,Garelu,"Urad Dal 60g, Rice Flour 10g, Oil 5ml, Salt 2g",Healthy,300,40,8,9,.\batch2_jain_mealplan.csv
Jain,269,Dinner,Pulusu+Rice,"Rice 50g, Vegetable 100g (no root veg), Tamarind 5g, Chili 5g, Curry Leaves 2g, Oil 5ml, Spices 5g",Healthy,360,62,10,7,.\batch2_jain_mealplan.csv
Jain,269,Day Total,,—,Balanced,1650,256,47,38,.\batch2_jain_mealplan.csv
Jain,270,Breakfast,Uttapam,"Idli-Dosa Batter 70g, Tomato 20g, Chili 5g, Oil 5ml, Salt 2g",Healthy,300,50,8,6,.\batch2_jain_mealplan.csv
Jain,270,Morning Snack,Corn,"Corn 80g, Chili Powder 2g, Lemon Juice 5ml, Salt 2g",Healthy,160,30,5,3,.\batch2_jain_mealplan.csv
Jain,270,Lunch,Kura+Rice,"Rice 50g, Vegetable 120g (no root veg), Tomato 20g, Curry Leaves 2g, Mustard Seeds 2g, Oil 5ml, Spices 5g",Healthy,370,58,11,9,.\batch2_jain_mealplan.csv
Jain,270,Evening Snack,Punugulu,"Idli-Dosa Batter 60g, Rice Flour 20g, Oil 5ml, Salt 2g",Healthy,260,35,7,8,.\batch2_jain_mealplan.csv
Jain,270,Dinner,Kura+Rice,"Rice 50g, Vegetable 120g (no root veg), Tomato 20g, Curry Leaves 2g, Mustard Seeds 2g, Oil 5ml, Spices 5g",Healthy,370,58,11,9,.\batch2_jain_mealplan.csv
Jain,270,Day Total,,—,Balanced,1460,231,42,35,.\batch2_jain_mealplan.csv
Jain,271,Breakfast,Punugulu,"Idli-Dosa Batter 60g, Rice Flour 20g, Oil 5ml, Salt 2g",Healthy,260,35,7,8,.\batch2_jain_mealplan.csv
Jain,271,Morning Snack,Punugulu,"Idli-Dosa Batter 60g, Rice Flour 20g, Oil 5ml, Salt 2g",Healthy,260,35,7,8,.\batch2_jain_mealplan.csv
Jain,271,Lunch,Pappu+Rice,"Rice 60g, Toor Dal 20g, Tomato 20g, Oil 5ml, Spices 5g",Healthy,390,66,13,8,.\batch2_jain_mealplan.csv
Jain,271,Evening Snack,Corn,"Corn 80g, Chili Powder 2g, Lemon Juice 5ml, Salt 2g",Healthy,160,30,5,3,.\batch2_jain_mealplan.csv
Jain,271,Dinner,Pappu+Rice,"Rice 60g, Toor Dal 20g, Tomato 20g, Oil 5ml, Spices 5g",Healthy,390,66,13,8,.\batch2_jain_mealplan.csv
Jain,271,Day Total,,—,Balanced,1460,232,45,35,.\batch2_jain_mealplan.csv
Jain,272,Breakfast,Garelu,"Urad Dal 60g, Rice Flour 10g, Oil 5ml, Salt 2g",Healthy,300,40,8,9,.\batch2_jain_mealplan.csv
Jain,272,Morning Snack,Garelu,"Urad Dal 60g, Rice Flour 10g, Oil 5ml, Salt 2g",Healthy,300,40,8,9,.\batch2_jain_mealplan.csv
Jain,272,Lunch,Pulusu+Rice,"Rice 50g, Vegetable 100g (no root veg), Tamarind 5g, Chili 5g, Curry Leaves 2g, Oil 5ml, Spices 5g",Healthy,360,62,10,7,.\batch2_jain_mealplan.csv
Jain,272,Evening Snack,Garelu,"Urad Dal 60g, Rice Flour 10g, Oil 5ml, Salt 2g",Healthy,300,40,8,9,.\batch2_jain_mealplan.csv
Jain,272,Dinner,Pulusu+Rice,"Rice 50g, Vegetable 100g (no root veg), Tamarind 5g, Chili 5g, Curry Leaves 2g, Oil 5ml, Spices 5g",Healthy,360,62,10,7,.\batch2_jain_mealplan.csv
Jain,272,Day Total,,—,Balanced,1620,244,44,41,.\batch2_jain_mealplan.csv
Jain,273,Breakfast,Dibba Rotti,"Urad Dal 30g, Rice 60g, Oil 5ml, Salt 2g",Healthy,280,44,7,6,.\batch2_jain_mealplan.csv
Jain,273,Morning Snack,Corn,"Corn 80g, Chili Powder 2g, Lemon Juice 5ml, Salt 2g",Healthy,160,30,5,3,.\batch2_jain_mealplan.csv
Jain,273,Lunch,Kura+Rice,"Rice 50g, Vegetable 120g (no root veg), Tomato 20g, Curry Leaves 2g, Mustard Seeds 2g, Oil 5ml, Spices 5g",Healthy,370,58,11,9,.\batch2_jain_mealplan.csv
Jain,273,Evening Snack,Punugulu,"Idli-Dosa Batter 60g, Rice Flour 20g, Oil 5ml, Salt 2g",Healthy,260,35,7,8,.\batch2_jain_mealplan.csv
Jain,273,Dinner,Kura+Rice,"Rice 50g, Vegetable 120g (no root veg), Tomato 20g, Curry Leaves 2g, Mustard Seeds 2g, Oil 5ml, Spices 5g",Healthy,370,58,11,9,.\batch2_jain_mealplan.csv
Jain,273,Day Total,,—,Balanced,1440,225,41,35,.\batch2_jain_mealplan.csv
Jain,274,Breakfast,Idli,"Rice 50g, Urad Dal 20g, Salt 2g",Healthy,240,45,8,3,.\batch2_jain_mealplan.csv
Jain,274,Morning Snack,Punugulu,"Idli-Dosa Batter 60g, Rice Flour 20g, Oil 5ml, Salt 2g",Healthy,260,35,7,8,.\batch2_jain_mealplan.csv
Jain,274,Lunch,Pappu+Rice,"Rice 60g, Toor Dal 20g, Tomato 20g, Oil 5ml, Spices 5g",Healthy,390,66,13,8,.\batch2_jain_mealplan.csv
Jain,274,Evening Snack,Corn,"Corn 80g, Chili Powder 2g, Lemon Juice 5ml, Salt 2g",Healthy,160,30,5,3,.\batch2_jain_mealplan.csv
Jain,274,Dinner,Pappu+Rice,"Rice 60g, Toor Dal 20g, Tomato 20g, Oil 5ml, Spices 5g",Healthy,390,66,13,8,.\batch2_jain_mealplan.csv
Jain,274,Day Total,,—,Balanced,1440,242,46,30,.\batch2_jain_mealplan.csv
Jain,275,Breakfast,Dosa,"Rice 50g, Urad Dal 15g, Oil 5ml, Salt 2g",Healthy,260,42,9,9,.\batch2_jain_mealplan.csv
Jain,275,Morning Snack,Garelu,"Urad Dal 60g, Rice Flour 10g, Oil 5ml, Salt 2g",Healthy,300,40,8,9,.\batch2_jain_mealplan.csv
Jain,275,Lunch,Pulusu+Rice,"Rice 50g, Vegetable 100g (no root veg), Tamarind 5g, Chili 5g, Curry Leaves 2g, Oil 5ml, Spices 5g",Healthy,360,62,10,7,.\batch2_jain_mealplan.csv
Jain,275,Evening Snack,Garelu,"Urad Dal 60g, Rice Flour 10g, Oil 5ml, Salt 2g",Healthy,300,40,8,9,.\batch2_jain_mealplan.csv
Jain,275,Dinner,Pulusu+Rice,"Rice 50g, Vegetable 100g (no root veg), Tamarind 5g, Chili 5g, Curry Leaves 2g, Oil 5ml, Spices 5g",Healthy,360,62,10,7,.\batch2_jain_mealplan.csv
Jain,275,Day Total,,—,Balanced,1580,246,45,41,.\batch2_jain_mealplan.csv
Jain,276,Breakfast,Pesarattu,"Green Gram 60g, Chili 5g, Cumin 2g, Oil 5ml, Salt 2g",Healthy,330,52,11,6,.\batch2_jain_mealplan.csv
Jain,276,Morning Snack,Corn,"Corn 80g, Chili Powder 2g, Lemon Juice 5ml, Salt 2g",Healthy,160,30,5,3,.\batch2_jain_mealplan.csv
Jain,276,Lunch,Kura+Rice,"Rice 50g, Vegetable 120g (no root veg), Tomato 20g, Curry Leaves 2g, Mustard Seeds 2g, Oil 5ml, Spices 5g",Healthy,370,58,11,9,.\batch2_jain_mealplan.csv
Jain,276,Evening Snack,Punugulu,"Idli-Dosa Batter 60g, Rice Flour 20g, Oil 5ml, Salt 2g",Healthy,260,35,7,8,.\batch2_jain_mealplan.csv
Jain,276,Dinner,Kura+Rice,"Rice 50g, Vegetable 120g (no root veg), Tomato 20g, Curry Leaves 2g, Mustard Seeds 2g, Oil 5ml, Spices 5g",Healthy,370,58,11,9,.\batch2_jain_mealplan.csv
Jain,276,Day Total,,—,Balanced,1490,233,45,35,.\batch2_jain_mealplan.csv
Jain,277,Breakfast,Uttapam,"Idli-Dosa Batter 70g, Tomato 20g, Chili 5g, Oil 5ml, Salt 2g",Healthy,300,50,8,6,.\batch2_jain_mealplan.csv
Jain,277,Morning Snack,Punugulu,"Idli-Dosa Batter 60g, Rice Flour 20g, Oil 5ml, Salt 2g",Healthy,260,35,7,8,.\batch2_jain_mealplan.csv
Jain,277,Lunch,Pappu+Rice,"Rice 60g, Toor Dal 20g, Tomato 20g, Oil 5ml, Spices 5g",Healthy,390,66,13,8,.\batch2_jain_mealplan.csv
Jain,277,Evening Snack,Corn,"Corn 80g, Chili Powder 2g, Lemon Juice 5ml, Salt 2g",Healthy,160,30,5,3,.\batch2_jain_mealplan.csv
Jain,277,Dinner,Pappu+Rice,"Rice 60g, Toor Dal 20g, Tomato 20g, Oil 5ml, Spices 5g",Healthy,390,66,13,8,.\batch2_jain_mealplan.csv
Jain,277,Day Total,,—,Balanced,1500,247,46,33,.\batch2_jain_mealplan.csv
Jain,278,Breakfast,Punugulu,"Idli-Dosa Batter 60g, Rice Flour 20g, Oil 5ml, Salt 2g",Healthy,260,35,7,8,.\batch2_jain_mealplan.csv
Jain,278,Morning Snack,Garelu,"Urad Dal 60g, Rice Flour 10g, Oil 5ml, Salt 2g",Healthy,300,40,8,9,.\batch2_jain_mealplan.csv
Jain,278,Lunch,Pulusu+Rice,"Rice 50g, Vegetable 100g (no root veg), Tamarind 5g, Chili 5g, Curry Leaves 2g, Oil 5ml, Spices 5g",Healthy,360,62,10,7,.\batch2_jain_mealplan.csv
Jain,278,Evening Snack,Garelu,"Urad Dal 60g, Rice Flour 10g, Oil 5ml, Salt 2g",Healthy,300,40,8,9,.\batch2_jain_mealplan.csv
Jain,278,Dinner,Pulusu+Rice,"Rice 50g, Vegetable 100g (no root veg), Tamarind 5g, Chili 5g, Curry Leaves 2g, Oil 5ml, Spices 5g",Healthy,360,62,10,7,.\batch2_jain_mealplan.csv
Jain,278,Day Total,,—,Balanced,1580,239,43,40,.\batch2_jain_mealplan.csv
Jain,279,Breakfast,Garelu,"Urad Dal 60g, Rice Flour 10g, Oil 5ml, Salt 2g",Healthy,300,40,8,9,.\batch2_jain_mealplan.csv
Jain,279,Morning Snack,Corn,"Corn 80g, Chili Powder 2g, Lemon Juice 5ml, Salt 2g",Healthy,160,30,5,3,.\batch2_jain_mealplan.csv
Jain,279,Lunch,Kura+Rice,"Rice 50g, Vegetable 120g (no root veg), Tomato 20g, Curry Leaves 2g, Mustard Seeds 2g, Oil 5ml, Spices 5g",Healthy,370,58,11,9,.\batch2_jain_mealplan.csv
Jain,279,Evening Snack,Punugulu,"Idli-Dosa Batter 60g, Rice Flour 20g, Oil 5ml, Salt 2g",Healthy,260,35,7,8,.\batch2_jain_mealplan.csv
Jain,279,Dinner,Kura+Rice,"Rice 50g, Vegetable 120g (no root veg), Tomato 20g, Curry Leaves 2g, Mustard Seeds 2g, Oil 5ml, Spices 5g",Healthy,370,58,11,9,.\batch2_jain_mealplan.csv
Jain,279,Day Total,,—,Balanced,1460,221,42,38,.\batch2_jain_mealplan.csv
Jain,280,Breakfast,Dibba Rotti,"Urad Dal 30g, Rice 60g, Oil 5ml, Salt 2g",Healthy,280,44,7,6,.\batch2_jain_mealplan.csv
Jain,280,Morning Snack,Punugulu,"Idli-Dosa Batter 60g, Rice Flour 20g, Oil 5ml, Salt 2g",Healthy,260,35,7,8,.\batch2_jain_mealplan.csv
Jain,280,Lunch,Pappu+Rice,"Rice 60g, Toor Dal 20g, Tomato 20g, Oil 5ml, Spices 5g",Healthy,390,66,13,8,.\batch2_jain_mealplan.csv
Jain,280,Evening Snack,Corn,"Corn 80g, Chili Powder 2g, Lemon Juice 5ml, Salt 2g",Healthy,160,30,5,3,.\batch2_jain_mealplan.csv
Jain,280,Dinner,Pappu+Rice,"Rice 60g, Toor Dal 20g, Tomato 20g, Oil 5ml, Spices 5g",Healthy,390,66,13,8,.\batch2_jain_mealplan.csv
Jain,280,Day Total,,—,Balanced,1480,241,45,33,.\batch2_jain_mealplan.csv
Jain,281,Breakfast,Idli,"Rice 50g, Urad Dal 20g, Salt 2g",Healthy,240,45,8,3,.\batch2_jain_mealplan.csv
Jain,281,Morning Snack,Garelu,"Urad Dal 60g, Rice Flour 10g, Oil 5ml, Salt 2g",Healthy,300,40,8,9,.\batch2_jain_mealplan.csv
Jain,281,Lunch,Pulusu+Rice,"Rice 50g, Vegetable 100g (no root veg), Tamarind 5g, Chili 5g, Curry Leaves 2g, Oil 5ml, Spices 5g",Healthy,360,62,10,7,.\batch2_jain_mealplan.csv
Jain,281,Evening Snack,Garelu,"Urad Dal 60g, Rice Flour 10g, Oil 5ml, Salt 2g",Healthy,300,40,8,9,.\batch2_jain_mealplan.csv
Jain,281,Dinner,Pulusu+Rice,"Rice 50g, Vegetable 100g (no root veg), Tamarind 5g, Chili 5g, Curry Leaves 2g, Oil 5ml, Spices 5g",Healthy,360,62,10,7,.\batch2_jain_mealplan.csv
Jain,281,Day Total,,—,Balanced,1560,249,44,35,.\batch2_jain_mealplan.csv
Jain,282,Breakfast,Dosa,"Rice 50g, Urad Dal 15g, Oil 5ml, Salt 2g",Healthy,260,42,9,9,.\batch2_jain_mealplan.csv
Jain,282,Morning Snack,Corn,"Corn 80g, Chili Powder 2g, Lemon Juice 5ml, Salt 2g",Healthy,160,30,5,3,.\batch2_jain_mealplan.csv
Jain,282,Lunch,Kura+Rice,"Rice 50g, Vegetable 120g (no root veg), Tomato 20g, Curry Leaves 2g, Mustard Seeds 2g, Oil 5ml, Spices 5g",Healthy,370,58,11,9,.\batch2_jain_mealplan.csv
Jain,282,Evening Snack,Punugulu,"Idli-Dosa Batter 60g, Rice Flour 20g, Oil 5ml, Salt 2g",Healthy,260,35,7,8,.\batch2_jain_mealplan.csv
Jain,282,Dinner,Kura+Rice,"Rice 50g, Vegetable 120g (no root veg), Tomato 20g, Curry Leaves 2g, Mustard Seeds 2g, Oil 5ml, Spices 5g",Healthy,370,58,11,9,.\batch2_jain_mealplan.csv
Jain,282,Day Total,,—,Balanced,1420,223,43,38,.\batch2_jain_mealplan.csv
Jain,283,Breakfast,Pesarattu,"Green Gram 60g, Chili 5g, Cumin 2g, Oil 5ml, Salt 2g",Healthy,330,52,11,6,.\batch2_jain_mealplan.csv
Jain,283,Morning Snack,Punugulu,"Idli-Dosa Batter 60g, Rice Flour 20g, Oil 5ml, Salt 2g",Healthy,260,35,7,8,.\batch2_jain_mealplan.csv
Jain,283,Lunch,Pappu+Rice,"Rice 60g, Toor Dal 20g, Tomato 20g, Oil 5ml, Spices 5g",Healthy,390,66,13,8,.\batch2_jain_mealplan.csv
Jain,283,Evening Snack,Corn,"Corn 80g, Chili Powder 2g, Lemon Juice 5ml, Salt 2g",Healthy,160,30,5,3,.\batch2_jain_mealplan.csv
Jain,283,Dinner,Pappu+Rice,"Rice 60g, Toor Dal 20g, Tomato 20g, Oil 5ml, Spices 5g",Healthy,390,66,13,8,.\batch2_jain_mealplan.csv
Jain,283,Day Total,,—,Balanced,1530,249,49,33,.\batch2_jain_mealplan.csv
Jain,284,Breakfast,Uttapam,"Idli-Dosa Batter 70g, Tomato 20g, Chili 5g, Oil 5ml, Salt 2g",Healthy,300,50,8,6,.\batch2_jain_mealplan.csv
Jain,284,Morning Snack,Garelu,"Urad Dal 60g, Rice Flour 10g, Oil 5ml, Salt 2g",Healthy,300,40,8,9,.\batch2_jain_mealplan.csv
Jain,284,Lunch,Pulusu+Rice,"Rice 50g, Vegetable 100g (no root veg), Tamarind 5g, Chili 5g, Curry Leaves 2g, Oil 5ml, Spices 5g",Healthy,360,62,10,7,.\batch2_jain_mealplan.csv
Jain,284,Evening Snack,Garelu,"Urad Dal 60g, Rice Flour 10g, Oil 5ml, Salt 2g",Healthy,300,40,8,9,.\batch2_jain_mealplan.csv
Jain,284,Dinner,Pulusu+Rice,"Rice 50g, Vegetable 100g (no root veg), Tamarind 5g, Chili 5g, Curry Leaves 2g, Oil 5ml, Spices 5g",Healthy,360,62,10,7,.\batch2_jain_mealplan.csv
Jain,284,Day Total,,—,Balanced,1620,254,44,38,.\batch2_jain_mealplan.csv
Jain,285,Breakfast,Punugulu,"Idli-Dosa Batter 60g, Rice Flour 20g, Oil 5ml, Salt 2g",Healthy,260,35,7,8,.\batch2_jain_mealplan.csv
Jain,285,Morning Snack,Corn,"Corn 80g, Chili Powder 2g, Lemon Juice 5ml, Salt 2g",Healthy,160,30,5,3,.\batch2_jain_mealplan.csv
Jain,285,Lunch,Kura+Rice,"Rice 50g, Vegetable 120g (no root veg), Tomato 20g, Curry Leaves 2g, Mustard Seeds 2g, Oil 5ml, Spices 5g",Healthy,370,58,11,9,.\batch2_jain_mealplan.csv
Jain,285,Evening Snack,Punugulu,"Idli-Dosa Batter 60g, Rice Flour 20g, Oil 5ml, Salt 2g",Healthy,260,35,7,8,.\batch2_jain_mealplan.csv
Jain,285,Dinner,Kura+Rice,"Rice 50g, Vegetable 120g (no root veg), Tomato 20g, Curry Leaves 2g, Mustard Seeds 2g, Oil 5ml, Spices 5g",Healthy,370,58,11,9,.\batch2_jain_mealplan.csv
Jain,285,Day Total,,—,Balanced,1420,216,41,37,.\batch2_jain_mealplan.csv
Jain,286,Breakfast,Garelu,"Urad Dal 60g, Rice Flour 10g, Oil 5ml, Salt 2g",Healthy,300,40,8,9,.\batch2_jain_mealplan.csv
Jain,286,Morning Snack,Punugulu,"Idli-Dosa Batter 60g, Rice Flour 20g, Oil 5ml, Salt 2g",Healthy,260,35,7,8,.\batch2_jain_mealplan.csv
Jain,286,Lunch,Pappu+Rice,"Rice 60g, Toor Dal 20g, Tomato 20g, Oil 5ml, Spices 5g",Healthy,390,66,13,8,.\batch2_jain_mealplan.csv
Jain,286,Evening Snack,Corn,"Corn 80g, Chili Powder 2g, Lemon Juice 5ml, Salt 2g",Healthy,160,30,5,3,.\batch2_jain_mealplan.csv
Jain,286,Dinner,Pappu+Rice,"Rice 60g, Toor Dal 20g, Tomato 20g, Oil 5ml, Spices 5g",Healthy,390,66,13,8,.\batch2_jain_mealplan.csv
Jain,286,Day Total,,—,Balanced,1500,237,46,36,.\batch2_jain_mealplan.csv
Jain,287,Breakfast,Dibba Rotti,"Urad Dal 30g, Rice 60g, Oil 5ml, Salt 2g",Healthy,280,44,7,6,.\batch2_jain_mealplan.csv
Jain,287,Morning Snack,Garelu,"Urad Dal 60g, Rice Flour 10g, Oil 5ml, Salt 2g",Healthy,300,40,8,9,.\batch2_jain_mealplan.csv
Jain,287,Lunch,Pulusu+Rice,"Rice 50g, Vegetable 100g (no root veg), Tamarind 5g, Chili 5g, Curry Leaves 2g, Oil 5ml, Spices 5g",Healthy,360,62,10,7,.\batch2_jain_mealplan.csv
Jain,287,Evening Snack,Garelu,"Urad Dal 60g, Rice Flour 10g, Oil 5ml, Salt 2g",Healthy,300,40,8,9,.\batch2_jain_mealplan.csv
Jain,287,Dinner,Pulusu+Rice,"Rice 50g, Vegetable 100g (no root veg), Tamarind 5g, Chili 5g, Curry Leaves 2g, Oil 5ml, Spices 5g",Healthy,360,62,10,7,.\batch2_jain_mealplan.csv
Jain,287,Day Total,,—,Balanced,1600,248,43,38,.\batch2_jain_mealplan.csv
Jain,288,Breakfast,Idli,"Rice 50g, Urad Dal 20g, Salt 2g",Healthy,240,45,8,3,.\batch2_jain_mealplan.csv
Jain,288,Morning Snack,Corn,"Corn 80g, Chili Powder 2g, Lemon Juice 5ml, Salt 2g",Healthy,160,30,5,3,.\batch2_jain_mealplan.csv
Jain,288,Lunch,Kura+Rice,"Rice 50g, Vegetable 120g (no root veg), Tomato 20g, Curry Leaves 2g, Mustard Seeds 2g, Oil 5ml, Spices 5g",Healthy,370,58,11,9,.\batch2_jain_mealplan.csv
Jain,288,Evening Snack,Punugulu,"Idli-Dosa Batter 60g, Rice Flour 20g, Oil 5ml, Salt 2g",Healthy,260,35,7,8,.\batch2_jain_mealplan.csv
Jain,288,Dinner,Kura+Rice,"Rice 50g, Vegetable 120g (no root veg), Tomato 20g, Curry Leaves 2g, Mustard Seeds 2g, Oil 5ml, Spices 5g",Healthy,370,58,11,9,.\batch2_jain_mealplan.csv
Jain,288,Day Total,,—,Balanced,1400,226,42,32,.\batch2_jain_mealplan.csv
Jain,289,Breakfast,Dosa,"Rice 50g, Urad Dal 15g, Oil 5ml, Salt 2g",Healthy,260,42,9,9,.\batch2_jain_mealplan.csv
Jain,289,Morning Snack,Punugulu,"Idli-Dosa Batter 60g, Rice Flour 20g, Oil 5ml, Salt 2g",Healthy,260,35,7,8,.\batch2_jain_mealplan.csv
Jain,289,Lunch,Pappu+Rice,"Rice 60g, Toor Dal 20g, Tomato 20g, Oil 5ml, Spices 5g",Healthy,390,66,13,8,.\batch2_jain_mealplan.csv
Jain,289,Evening Snack,Corn,"Corn 80g, Chili Powder 2g, Lemon Juice 5ml, Salt 2g",Healthy,160,30,5,3,.\batch2_jain_mealplan.csv
Jain,289,Dinner,Pappu+Rice,"Rice 60g, Toor Dal 20g, Tomato 20g, Oil 5ml, Spices 5g",Healthy,390,66,13,8,.\batch2_jain_mealplan.csv
Jain,289,Day Total,,—,Balanced,1460,239,47,36,.\batch2_jain_mealplan.csv
Jain,290,Breakfast,Pesarattu,"Green Gram 60g, Chili 5g, Cumin 2g, Oil 5ml, Salt 2g",Healthy,330,52,11,6,.\batch2_jain_mealplan.csv
Jain,290,Morning Snack,Garelu,"Urad Dal 60g, Rice Flour 10g, Oil 5ml, Salt 2g",Healthy,300,40,8,9,.\batch2_jain_mealplan.csv
Jain,290,Lunch,Pulusu+Rice,"Rice 50g, Vegetable 100g (no root veg), Tamarind 5g, Chili 5g, Curry Leaves 2g, Oil 5ml, Spices 5g",Healthy,360,62,10,7,.\batch2_jain_mealplan.csv
Jain,290,Evening Snack,Garelu,"Urad Dal 60g, Rice Flour 10g, Oil 5ml, Salt 2g",Healthy,300,40,8,9,.\batch2_jain_mealplan.csv
Jain,290,Dinner,Pulusu+Rice,"Rice 50g, Vegetable 100g (no root veg), Tamarind 5g, Chili 5g, Curry Leaves 2g, Oil 5ml, Spices 5g",Healthy,360,62,10,7,.\batch2_jain_mealplan.csv
Jain,290,Day Total,,—,Balanced,1650,256,47,38,.\batch2_jain_mealplan.csv
Jain,291,Breakfast,Uttapam,"Idli-Dosa Batter 70g, Tomato 20g, Chili 5g, Oil 5ml, Salt 2g",Healthy,300,50,8,6,.\batch2_jain_mealplan.csv
Jain,291,Morning Snack,Corn,"Corn 80g, Chili Powder 2g, Lemon Juice 5ml, Salt 2g",Healthy,160,30,5,3,.\batch2_jain_mealplan.csv
Jain,291,Lunch,Kura+Rice,"Rice 50g, Vegetable 120g (no root veg), Tomato 20g, Curry Leaves 2g, Mustard Seeds 2g, Oil 5ml, Spices 5g",Healthy,370,58,11,9,.\batch2_jain_mealplan.csv
Jain,291,Evening Snack,Punugulu,"Idli-Dosa Batter 60g, Rice Flour 20g, Oil 5ml, Salt 2g",Healthy,260,35,7,8,.\batch2_jain_mealplan.csv
Jain,291,Dinner,Kura+Rice,"Rice 50g, Vegetable 120g (no root veg), Tomato 20g, Curry Leaves 2g, Mustard Seeds 2g, Oil 5ml, Spices 5g",Healthy,370,58,11,9,.\batch2_jain_mealplan.csv
Jain,291,Day Total,,—,Balanced,1460,231,42,35,.\batch2_jain_mealplan.csv
